innings,over,ball,start_time,end_time,bowler,batsman,runs,comment
,,,,,,,,
1,0,1,652.48,669.96,Morkel,Pandey,1,****leans forward to caress the full length delivery moving away from him to left of mid-off for a single
,,,,,,,,
1,0,2,699.24,710.08,Morkel,Kallis,0,"around the off stump, on a length, Kallis gets close to the line of bull and pushes it out to the off side"
,,,,,,,,
1,0,3,730.96,746.8,Morkel,Kallis,0,"**drama** Huge appeal for a catch behind but Russel Tiffin has turned it down. Lovely delivery, straightening from the good length, Kallis goes for the on-the-up off drive and the ball flies past the edge. Was there a nick? The replays don't confirm it. There was some itsy bitsy tiny noise on it. The appeal was unanimous but then these days that doesn't mean much."
,,,,,,,,
1,0,4,793.52,800.72,Morkel,Kallis,0,leans forward to push the length delivery to the off side
,,,,,,,,
1,0,5,834.84,854.2,Morkel,Kallis,1,shuffles across to push to mid-on for a single
,,,,,,,,
1,0,6,874.8,893.96,Morkel,Pandey,0,"fullish and around the legs, rolls of the pad"
,,,,,,,,
1,1,1,954.96,969.68,Tyagi,Kallis,1,"short in length and outside off stump, slashed away to third man"
,,,,,,,,
1,1,2,1001.04,1015.72,Tyagi,Pandey,4,"goes for the yorker, Manish takes his front leg out of the way and brings his bat down in a hurry. The ball flies off the inner half of the bat and rushes on this fast outfield to fine-leg boundary"
,,,,,,,,
1,1,3,1043.28,1056.96,Tyagi,Pandey,0,"length delivery around off , Manish stays beside the line to push it out to cover"
,,,,,,,,
1,1,4,1077.44,1083.76,Tyagi,Pandey,0,stays on the leg stump line and has a flash at a back-of-length delivery outside off stump but makes no contact . the bat goes under the ball
,,,,,,,,
1,1,5,1108.4,1119.68,Tyagi,Pandey,1,jumps to get on top of the bounce of the short-of- length delivery coming in to the middle stump line and works it to the leg for a single
,,,,,,,,
1,1,6,1143.52,1149.28,Tyagi,Kallis,0,"straightens around the middle stump line, Kallis was on the shuffle, adjusts his wrists to adjust to the straightening and pushes the ball to the on side of the pitch"
,,,,,,,,
1,2,1,1187.56,1202.6,Morkel,Pandey,1,"The bouncer arrives and Manish top-edges the pull. But luckily, for him , the ball lands safely in short fine-leg region"
,,,,,,,,
1,2,2,1222.72,1237.16,Morkel,Kallis,4,** L Bala** doesn't see the ball at third man! Opportunity for **catch missed**. Kallis had backed away and charged out for the big lofted off drive and ended up slicing the ball towards third man. Bala came forward and completely lost sight of the ball. Could be the crowd. Hopefully not his eyes. The ball sails over him and lands inside the boundary ropes!
,,,,,,,,
1,2,3,1278.56,1288.92,Morkel,Kallis,4,"Ooh . this pitch has bounce and carry. It kicks up from short of length, Kallis is almost squared-up as the ball straightens and manages to stab it just past the diving slip fielder and it races away"
,,,,,,,,
1,2,4,1321.76,1331.2,Morkel,Kallis,0,"in the zone outside off stump, left alone"
,,,,,,,,
1,2,5,1362.92,1377.2,Morkel,Kallis,0,charges out as he moves outside leg stump and tries to slash the bouncing short of length delivery but the ball bounces over the flashing blade.
,,,,,,,,
1,2,6,1398.24,1407.6,Morkel,Kallis,0,"fuller, around the off stump, hint of away movement, Kallis stays where he is this time and opens the bat-face to guide the ball to point"
,,,,,,,,
1,3,1,1450.2,1457.56,Tyagi,Pandey,0,"length delivery that moves in to off and middle, pushed out cautiously to the off side"
,,,,,,,,
1,3,2,1486.76,1497.56,Tyagi,Pandey,0,"backs away outside leg stump, Tyagi digs it in short and outside off, Manish tries to reach out but mistimes the intended cut and the ball rolls to cover"
,,,,,,,,
1,3,3,1522.8,1528.04,Tyagi,Pandey,0,And again. Another mistimed cut and this time the ball rolls off the bottom of the bat to slip.
,,,,,,,,
1,3,4,1550.92,1560.72,Tyagi,Pandey,0,"this one flies from short of length and Pandey again can't connect with the cut. Again, the bat went below the ball. Beaten by the extra bounce."
,,,,,,,,
1,3,5,1581.68,1599.96,Tyagi,Pandey,1,"Tyagi cuts this one back into Manish, who is as ever looking to move outside leg at the last minute, and cramps him for room. Tucked to square-leg"
,,,,,,,,
1,3,6,1629.24,1639.4,Tyagi,Kallis,1,threatens to move towards leg before he moves towards the off side and goes for the pull. But he too is unable to connect properly and the ball rolls towards mid-on. Good over.
,,,,,,,,
1,4,1,1714.4,1723.84,Balaji,Kallis,4,goes for the slower one and Kallis leans forward to lift it over cover point.. Easily done. The full swing of the bat.
,,,,,,,,
1,4,2,1746.88,1757.88,Balaji,Kallis,1,"ball, The beamer arrives! So does the apology from the bowler. A startled Kallis just about manages to stab it away. The ball slips out at the release"
,,,,,,,,
1,4,2,1786.2,1794.76,Balaji,Kallis,0,"length delivery around off stump, defended to the off side"
,,,,,,,,
1,4,3,1824.56,1838.36,Balaji,Kallis,4,**What a mess from Muralitharan!** Fielding lapse. Not a catch. Kallis shuffled outside off and whipped a full delivery from outside off to mid-on where Murali makes a fine mess. The ball went right through him.
,,,,,,,,
1,4,4,1875.76,1890.44,Balaji,Kallis,OUT,"is the first time that Kallis has got out in this IPL.. Stop the press. Call your grandfather. Tell your neighbor. Silence your dog. Kallis, again, shuffled right across, got outside off stump and tried to whip-flick a length delivery over the on-side field. Thin air. The ball flies through straight to crash into the middle stump."
,,,,,,,,
